"","RNA.g0","RNA.g1","RNA.g2","RNA.g3","RNA.g4","RNA.g5","RNA.g6","RNA.g7","RNA.g8"
"UBXN10-AS1",0.00963298333493883,0,0.00714498022269474,0,0.0330712895947741,0,0.037750806923498,0,0
"UBXN10",0,0,0,0,0.0113230406893467,0,0.0325839035516455,0,0
"CAMK2N1",0.0976458140524279,0,0.01539348433989,0,0.0322532183194885,0,0.0285091157897738,0,0
"MUL1",0.102433845758011,0.105271357773948,0.0868016740890355,0.141688982138682,0.0954462206565162,0.146111445470221,0.174833654222317,0.0554372893383005,0
"CDA",0.0622887528415078,4.32913741409968,0.0864844030310136,0.0314047664781786,0.0554633587434197,2.96674632901921,0.0802707519945595,0,0
"PINK1",0.0429609714427424,0.199254927866282,0.0539944793927872,0.0229896484470402,0.0824307663107558,0.405650190028382,0.117056377336597,0.112296823544996,0
"PINK1-AS",0.032225062889473,0.0365535940201847,0.0243691879158359,0.0369165625148207,0,0.0278099429099676,0.0993462819724929,0.0474924012158055,0
"DDOST",0.735396577314036,0.913118889780914,0.889863363587901,0.764173970168957,1.45471035514224,0.612455037253936,2.388107902006,1.02974136513342,0.0866738894907909
"HP1BP3",0.719766724699115,0.34908367485444,0.749323911395129,0.545564786988639,0.721334782310086,0.61547322730809,0.52539945643264,0.818389764576022,0.0866738894907909
"RP5-930J4.4",0.0057650178715554,0,0.0104498012447803,0,0.0165596910624035,0,0,0,0
"EIF4G3",0.0345613304902385,0.0286798286439431,0,0.0701003163881848,0.0618538028362541,0.0389259521036706,0.168694438491444,0.0474924012158055,0
"ECE1",0.12515766280408,0.199443299878495,0.181501642646731,0.13766707603908,0.165970709035494,0.176448905721119,0.0636859644933699,0.14614150664885,0
