"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"RPS12",4.67234587875212e-144,0.744036008685013,1,0.991,6.40765513812065e-140,"0","RPS12"
"RPS27",7.13808784858503e-141,0.733473683551775,0.999,0.992,9.78917367554951e-137,"0","RPS27"
"RPS6",9.43641994405285e-141,0.685610221304998,1,0.995,1.29411063112741e-136,"0","RPS6"
"RPL32",3.2049221385231e-135,0.618601153989247,0.999,0.995,4.39523022077058e-131,"0","RPL32"
"RPS14",1.06173726611703e-129,0.630479344532347,1,0.994,1.45606648675289e-125,"0","RPS14"
"CYBA",1.39098428891871e-126,-1.73779852665478,0.66,0.915,1.90759585382312e-122,"0","CYBA"
"RPS25",1.17466958393299e-123,0.767128735119311,0.997,0.975,1.6109418674057e-119,"0","RPS25"
"RPL9",1.39525918594818e-118,0.76868889856799,0.994,0.972,1.91345844760933e-114,"0","RPL9"
"CD74",1.52072411468653e-117,-2.87083955147907,0.68,0.904,2.08552105088111e-113,"0","CD74"
"RPL13",1.93130598997768e-115,0.564310048965156,1,0.996,2.64859303465539e-111,"0","RPL13"
"RPL31",3.7679355016414e-115,0.759367001680694,0.996,0.964,5.16734674695102e-111,"0","RPL31"
"RPS3",2.36305883863866e-114,0.60530623393392,1,0.994,3.24069889130906e-110,"0","RPS3"
"RPL3",6.55933321776757e-113,0.616473638246498,0.997,0.995,8.99546957484644e-109,"0","RPL3"
"HLA-DRB1",9.16323598326981e-113,-4.27285680865927,0.103,0.589,1.25664618274562e-108,"0","HLA-DRB1"
"RPS3A",3.03587882387966e-110,0.795284950414081,0.991,0.977,4.16340421906856e-106,"0","RPS3A"
"RPL21",2.13320168381069e-108,0.676109896170787,0.997,0.991,2.92547278917798e-104,"0","RPL21"
"RPL30",2.29475511197664e-108,0.671293891683184,0.999,0.98,3.14702716056477e-104,"0","RPL30"
"LDHB",2.53378739132494e-108,1.18402067157042,0.901,0.593,3.47483602846303e-104,"0","LDHB"
"RPS15A",1.41135392032997e-106,0.643592202474943,0.997,0.983,1.93553076634052e-102,"0","RPS15A"
"HLA-DRA",1.63086796620263e-105,-4.39074935667032,0.261,0.668,2.23657232885028e-101,"0","HLA-DRA"
"S100A4",2.05385384196384e-104,-1.90870643876472,0.684,0.859,2.8166551588692e-100,"0","S100A4"
"HLA-DPB1",4.80950050899033e-104,-3.68945922253054,0.197,0.635,6.59574899802934e-100,"0","HLA-DPB1"
"RPLP2",3.3858711260985e-103,0.601609555781956,1,0.99,4.64338366233148e-99,"0","RPLP2"
"HLA-DPA1",7.51822904674811e-101,-3.67306100394993,0.17,0.61,1.03104993147104e-96,"0","HLA-DPA1"
"RPS27A",8.69586328570966e-98,0.745402504319105,0.994,0.966,1.19255069100222e-93,"0","RPS27A"
"EEF1A1",1.27787585037659e-96,0.531411919560684,0.994,0.991,1.75247894120645e-92,"0","EEF1A1"
"MALAT1",8.06284245365994e-96,0.672557914243936,1,0.999,1.10573821409492e-91,"0","MALAT1"
"RPS13",2.10416212911999e-94,0.701516813619659,0.984,0.962,2.88564794387516e-90,"0","RPS13"
"RPL13A",1.72455427850865e-93,0.481378650794108,1,0.999,2.36505373754676e-89,"0","RPL13A"
"RPS18",2.08625500497793e-93,0.523335814054687,1,0.996,2.86109011382673e-89,"0","RPS18"
"OAZ1",4.12404528404388e-93,-1.41863981515757,0.817,0.946,5.65571570253778e-89,"0","OAZ1"
"RPL27A",5.13617053456957e-92,0.546292741126218,0.999,0.988,7.04374427110871e-88,"0","RPL27A"
"CLIC1",7.5523903205472e-91,-1.79933797350997,0.343,0.754,1.03573480855984e-86,"0","CLIC1"
"RPS28",1.60123522886081e-90,0.656800551790131,0.991,0.969,2.19593399285972e-86,"0","RPS28"
"LGALS1",1.75698227269815e-90,-3.59388297566052,0.177,0.585,2.40952548877824e-86,"0","LGALS1"
"RPL11",4.61057171392685e-90,0.464022954295657,1,0.995,6.32293804847928e-86,"0","RPL11"
"HLA-DRB5",1.30926410768163e-89,-4.68668856282074,0.039,0.464,1.79552479727459e-85,"0","HLA-DRB5"
"RPL35A",1.69780299167499e-89,0.58110256008507,0.997,0.981,2.32836702278308e-85,"0","RPL35A"
"RPS29",5.93094857591463e-88,0.77729009364615,0.99,0.904,8.13370287700932e-84,"0","RPS29"
"RPL23A",9.86615882219464e-87,0.574514156281315,1,0.988,1.35304502087577e-82,"0","RPL23A"
"CCR7",2.16062937090725e-85,2.38326601575925,0.44,0.108,2.96308711926221e-81,"0","CCR7"
"SH3BGRL3",4.0595068720881e-84,-1.21662644176958,0.736,0.903,5.56720772438162e-80,"0","SH3BGRL3"
"RPS23",9.17225821224525e-84,0.577403416152514,0.997,0.977,1.25788349122731e-79,"0","RPS23"
"TPT1",2.35283800148062e-82,0.599917214680908,0.996,0.982,3.22668203523052e-78,"0","TPT1"
"ACTB",7.79317912105769e-81,-0.913410393492813,0.99,0.994,1.06875658466185e-76,"0","ACTB"
"RPS20",8.02991747993719e-81,0.695074887803697,0.987,0.943,1.10122288319859e-76,"0","RPS20"
"SRGN",1.9900936005809e-80,-1.98439892748086,0.341,0.692,2.72921436383665e-76,"0","SRGN"
"RPS4X",1.30246560141613e-78,0.519229902943343,0.997,0.992,1.78620132578209e-74,"0","RPS4X"
"TYROBP",1.55909948181664e-78,-4.85214127966314,0.124,0.496,2.13814902936333e-74,"0","TYROBP"
"RPL5",2.46438079688063e-77,0.613492687416024,0.989,0.969,3.3796518248421e-73,"0","RPL5"
"CD3D",2.04795939416206e-76,1.0738579934486,0.837,0.406,2.80857151315385e-72,"0","CD3D"
"RPS16",5.97754484358809e-75,0.54131831071528,0.996,0.982,8.1976049984967e-71,"0","RPS16"
"SAT1",1.870463661179e-72,-2.36686019274595,0.356,0.676,2.56515386494088e-68,"0","SAT1"
"FTH1",3.84936500995848e-72,-2.00846685311871,0.984,0.992,5.27901917465706e-68,"0","FTH1"
"FCER1G",2.95970041427128e-71,-4.28878843846696,0.099,0.452,4.05893314813164e-67,"0","FCER1G"
"ARPC3",3.22436563670131e-71,-1.15132718764939,0.653,0.877,4.42189503417217e-67,"0","ARPC3"
"S100A11",4.29068984758325e-71,-2.41024995816679,0.274,0.618,5.88425205697568e-67,"0","S100A11"
"RPL19",3.34955018805362e-69,0.390380084165101,0.999,0.993,4.59357312789674e-65,"0","RPL19"
"RPL10",5.84706434679957e-69,0.354823239177629,1,0.997,8.01866404520093e-65,"0","RPL10"
"RPL10A",2.76696180207952e-68,0.522791618859941,0.991,0.985,3.79461141537186e-64,"0","RPL10A"
"RPSA",2.30366530021231e-66,0.585326126154998,0.989,0.948,3.15924659271116e-62,"0","RPSA"
"FTL",2.65579176123141e-66,-2.33807103110977,0.973,0.996,3.64215282135275e-62,"0","FTL"
"ANXA2",5.07886327744488e-66,-2.25225653265321,0.167,0.535,6.96515309868791e-62,"0","ANXA2"
"TYMP",9.93211778471648e-64,-3.58862663619438,0.101,0.438,1.36209063299602e-59,"0","TYMP"
"CST3",2.84746398122254e-61,-4.56746762239246,0.169,0.481,3.9050121038486e-57,"0","CST3"
"RPS5",3.86655811648532e-61,0.512851798756505,0.99,0.975,5.30259780094797e-57,"0","RPS5"
"RPS10",8.65172049467812e-61,0.543677773457041,0.989,0.969,1.18649694864016e-56,"0","RPS10"
"RPL14",2.22142754687296e-59,0.428691626526922,0.994,0.985,3.04646573778157e-55,"0","RPL14"
"LST1",2.77800326236002e-59,-3.91807218705094,0.124,0.441,3.80975367400054e-55,"0","LST1"
"MYL6",8.55722396737224e-59,-0.98911173583149,0.754,0.888,1.17353769488543e-54,"0","MYL6"
"S100A6",4.95673492520913e-57,-1.50545816292989,0.714,0.808,6.7976662764318e-53,"0","S100A6"
"RPS15",8.95900534436945e-57,0.405597610699675,0.999,0.989,1.22863799292683e-52,"0","RPS15"
"NPM1",2.58228781124603e-56,0.792553582712273,0.911,0.8,3.5413495043428e-52,"0","NPM1"
"RPL18",3.68457810768512e-56,0.51663839172441,0.997,0.979,5.05303041687938e-52,"0","RPL18"
"RPLP0",5.629208542503e-56,0.540520139638386,0.984,0.939,7.71989659518862e-52,"0","RPLP0"
"GSTP1",5.83638659814628e-56,-2.32397898939214,0.227,0.544,8.00402058069781e-52,"0","GSTP1"
"PSAP",1.21379206418022e-55,-2.17770475746317,0.301,0.585,1.66459443681676e-51,"0","PSAP"
"RPL36",1.39063761157786e-55,0.545423570885273,0.986,0.949,1.90712042051788e-51,"0","RPL36"
"CD3E",1.23432341451071e-54,1.03912012696733,0.726,0.399,1.69275113065998e-50,"0","CD3E"
"HLA-DQB1",1.28606773588694e-54,-4.97592973253727,0.024,0.319,1.76371329299535e-50,"0","HLA-DQB1"
"HLA-DMA",5.03991934921208e-54,-3.71943838081706,0.044,0.346,6.91174539550945e-50,"0","HLA-DMA"
"CTSS",4.07362757599797e-53,-2.32982429682961,0.334,0.591,5.58657285772362e-49,"0","CTSS"
"S100A9",7.0531037549139e-53,-5.52553406333651,0.143,0.435,9.67262648948893e-49,"0","S100A9"
"RPL4",1.0884596612304e-52,0.546471910158497,0.991,0.957,1.49271357941137e-48,"0","RPL4"
"ARPC1B",1.2532757752319e-51,-1.19603009012722,0.601,0.801,1.71874239815303e-47,"0","ARPC1B"
"PFN1",1.60453664200599e-50,-0.747632454398078,0.916,0.956,2.20046155084701e-46,"0","PFN1"
"SPI1",2.86677749379427e-50,-5.14755113304445,0.016,0.285,3.93149865498946e-46,"0","SPI1"
"GAPDH",3.04226148884484e-50,-1.02100848269671,0.79,0.873,4.17215740580181e-46,"0","GAPDH"
"COTL1",6.5130168424753e-50,-2.00367523131141,0.477,0.685,8.93195129777063e-46,"0","COTL1"
"HLA-DQA1",8.7762027158695e-50,-5.2747872527407,0.02,0.29,1.20356844045434e-45,"0","HLA-DQA1"
"ARPC2",2.10892954546546e-49,-0.832572702549282,0.676,0.848,2.89218597865133e-45,"0","ARPC2"
"LEF1",7.76175172898362e-49,2.09130918238267,0.334,0.104,1.06444663211281e-44,"0","LEF1"
"RPL22",8.30700073400926e-49,0.724991606478169,0.903,0.779,1.13922208066203e-44,"0","RPL22"
"NOSIP",1.33028131639562e-48,1.23917023815837,0.626,0.358,1.82434779730495e-44,"0","NOSIP"
"PYCARD",1.53442806426206e-48,-2.31184540848322,0.153,0.45,2.10431464732899e-44,"0","PYCARD"
"RPL7",1.99054067487363e-48,0.563639309006978,0.977,0.967,2.72982748152169e-44,"0","RPL7"
"RPL36A",5.31308166533413e-48,0.589406928768875,0.957,0.89,7.28636019583923e-44,"0","RPL36A"
"EEF1B2",1.97327033081464e-47,0.57432052803201,0.941,0.868,2.7061429316792e-43,"0","EEF1B2"
"CD68",1.00386007270591e-46,-4.08216797146686,0.03,0.292,1.37669370370889e-42,"0","CD68"
"RPS8",6.9429148999584e-46,0.434619774174432,0.997,0.984,9.52151349380295e-42,"0","RPS8"
"RPL18A",2.03735262784084e-45,0.316083061302169,0.999,0.992,2.79402539382092e-41,"0","RPL18A"
"RPS2",4.33237891599612e-45,0.321499824035643,1,0.995,5.94142444539708e-41,"0","RPS2"
"S100A8",1.06879515828049e-44,-5.57435888224627,0.084,0.346,1.46574568006586e-40,"0","S100A8"
"FGR",1.31601686074396e-44,-3.73483255929836,0.029,0.284,1.80478552282427e-40,"0","FGR"
"LGALS3",1.34804115331288e-44,-3.39470150739201,0.053,0.316,1.84870363765329e-40,"0","LGALS3"
"MT-CO1",2.13125780323137e-44,-0.451476204015844,0.99,0.996,2.92280695135151e-40,"0","MT-CO1"
"FCN1",2.17061336796929e-44,-3.88978423428552,0.107,0.365,2.97677917283309e-40,"0","FCN1"
"PRELID1",3.41911229100654e-44,-1.66144613704577,0.261,0.545,4.68897059588636e-40,"0","PRELID1"
"RPS19",1.22676646122588e-43,0.353873626074352,0.997,0.992,1.68238752492518e-39,"0","RPS19"
"JUNB",1.25155960344685e-43,0.719782643129257,0.916,0.903,1.71638884016701e-39,"0","JUNB"
"RPL17",1.35592545391391e-43,0.455335220772652,0.971,0.959,1.85951616749754e-39,"0","RPL17"
"CFD",1.43993538198581e-43,-3.97946262635683,0.046,0.297,1.97472738285534e-39,"0","CFD"
"CEBPD",1.52345314800642e-43,-3.4842645345586,0.037,0.293,2.08926364717601e-39,"0","CEBPD"
"PIK3IP1",4.30531571966021e-43,1.51272638049592,0.437,0.185,5.90430997794202e-39,"0","PIK3IP1"
"LGALS2",5.35710926765412e-43,-4.85313642216048,0.034,0.279,7.34673964966086e-39,"0","LGALS2"
"LYZ",6.43286133059696e-43,-4.08764120279208,0.476,0.651,8.82202602878067e-39,"0","LYZ"
"GRN",1.41567606614434e-42,-3.36200630899565,0.056,0.31,1.94145815711035e-38,"0","GRN"
"PRKCQ-AS1",1.46408578137062e-42,1.9808489985938,0.327,0.111,2.00784724057167e-38,"0","PRKCQ-AS1"
"LY86",4.23313723223864e-42,-4.49944903816389,0.019,0.254,5.80532440029207e-38,"0","LY86"
"IFI30",5.5868804287303e-42,-8.35898488477588,0.001,0.225,7.66184781996073e-38,"0","IFI30"
"TMEM66",7.20865344709035e-42,0.812263368690928,0.84,0.701,9.88594733733971e-38,"0","TMEM66"
"NPC2",1.87833875611161e-40,-2.13997768539075,0.24,0.482,2.57595377013147e-36,"0","NPC2"
"BTG1",2.88824954910485e-40,0.608577968210473,0.939,0.86,3.96094543164239e-36,"0","BTG1"
"CD7",4.24148137295212e-40,0.893282232510348,0.576,0.293,5.81676755486654e-36,"0","CD7"
"AP1S2",1.13343209410534e-39,-2.2681285000155,0.107,0.367,1.55438877385607e-35,"0","AP1S2"
"RPS26",3.8891668161274e-39,0.517440328803767,0.957,0.9,5.33360337163712e-35,"0","RPS26"
"IFITM3",5.57031916285333e-39,-3.91138629579011,0.054,0.288,7.63913569993706e-35,"0","IFITM3"
"GLTSCR2",6.56878159643983e-39,0.602035941226482,0.909,0.807,9.00842708135758e-35,"0","GLTSCR2"
"FHIT",7.0606597385523e-39,2.65150037035844,0.196,0.041,9.68298876545063e-35,"0","FHIT"
"RAC1",7.32663782531415e-39,-1.50946470061041,0.243,0.511,1.00477511136358e-34,"0","RAC1"
"SERPINA1",1.65869218931841e-38,-3.04601554405339,0.07,0.311,2.27473046843127e-34,"0","SERPINA1"
"RPL38",1.0809469980512e-37,0.542543210679834,0.941,0.876,1.48241071312741e-33,"0","RPL38"
"SERF2",2.23574849006468e-37,-0.712306810635015,0.784,0.882,3.0661054792747e-33,"0","SERF2"
"RPS21",2.97198193131394e-37,0.539629661509165,0.934,0.841,4.07577602060394e-33,"0","RPS21"
"RPL35",9.19493799947898e-37,0.418491643652921,0.987,0.966,1.26099379724855e-32,"0","RPL35"
"RPLP1",1.51908046400238e-36,0.308189694217176,1,0.996,2.08326694833286e-32,"0","RPLP1"
"ATP6V0B",4.09957653505452e-36,-1.90277332964993,0.149,0.406,5.62215926017376e-32,"0","ATP6V0B"
"GABARAP",4.41679123987639e-36,-1.53275814346095,0.331,0.547,6.05718750636648e-32,"0","GABARAP"
"RPL24",8.33209703080538e-36,0.430288863217049,0.979,0.944,1.14266378680465e-31,"0","RPL24"
"CARD16",1.21896033546339e-35,-2.0183788817931,0.104,0.352,1.67168220405449e-31,"0","CARD16"
"CFP",1.93582230672029e-35,-3.13206013710742,0.046,0.267,2.65478671143621e-31,"0","CFP"
"GPX1",3.31498698239042e-35,-2.27986736453972,0.251,0.485,4.54617314765022e-31,"0","GPX1"
"IL7R",4.6396742787501e-35,0.884242849379717,0.597,0.332,6.36284930587789e-31,"0","IL7R"
"TKT",5.14529006839709e-35,-2.01280002740886,0.173,0.416,7.05625079979977e-31,"0","TKT"
"CTSH",6.54878320436021e-35,-3.48671934351145,0.024,0.233,8.98100128645959e-31,"0","CTSH"
"HLA-DMB",1.72015191384602e-34,-3.19806157338158,0.029,0.236,2.35901633464843e-30,"0","HLA-DMB"
"ITGB2",2.09640985005182e-34,-1.38194481806525,0.287,0.538,2.87501646836106e-30,"0","ITGB2"
"ISG15",7.37220957012811e-34,-1.67839861740061,0.266,0.514,1.01102482044737e-29,"0","ISG15"
"TCF7",1.22089856336116e-33,1.32868897533716,0.389,0.177,1.67434028979349e-29,"0","TCF7"
"NCF2",2.17973005761308e-33,-3.59056646276824,0.027,0.23,2.98928180101057e-29,"0","NCF2"
"NKG7",2.46790781194233e-33,-3.75381691781637,0.131,0.359,3.38448877329771e-29,"0","NKG7"
"MAL",2.9939122970605e-33,1.91853255548061,0.263,0.087,4.10585132418877e-29,"0","MAL"
"RPL12",4.88560809959518e-33,0.285580645214341,1,0.989,6.70012294778483e-29,"0","RPL12"
"CD63",5.10854412229268e-33,-1.49004616050829,0.163,0.411,7.00585740931218e-29,"0","CD63"
"CD79B",1.0408028154034e-32,-3.31408010571018,0.084,0.3,1.42735698104422e-28,"0","CD79B"
"FAM26F",3.2291507084193e-32,-2.34884360506312,0.069,0.287,4.42845728152623e-28,"0","FAM26F"
"FCGR3A",3.45615146729241e-32,-4.06149854954277,0.04,0.239,4.7397661222448e-28,"0","FCGR3A"
"LY6E",3.80851033274549e-32,-0.905676115836876,0.529,0.719,5.22299107032717e-28,"0","LY6E"
"EFHD2",5.31916120479358e-32,-2.6371559179923,0.041,0.249,7.29469767625391e-28,"0","EFHD2"
"TNFSF13B",6.59507417067974e-32,-3.81350313539104,0.021,0.213,9.0444847176702e-28,"0","TNFSF13B"
"RPL37",8.80944068108139e-32,0.432655167441507,0.984,0.943,1.2081266950035e-27,"0","RPL37"
"LINC00176",8.94207603847172e-32,2.77472978956569,0.151,0.029,1.22631630791601e-27,"0","LINC00176"
"CDA",2.42101910854825e-31,-4.42013544117677,0.013,0.195,3.32018560546307e-27,"0","CDA"
"AP2S1",3.36340549964317e-31,-1.74026638755603,0.18,0.416,4.61257430221065e-27,"0","AP2S1"
"MS4A6A",3.41612040986806e-31,-4.25375924362955,0.021,0.208,4.68486753009305e-27,"0","MS4A6A"
"RGS2",4.07577895540897e-31,-2.17471204719226,0.114,0.336,5.58952325944786e-27,"0","RGS2"
"CAPG",7.68926305491389e-31,-2.24653910771312,0.074,0.29,1.05450553535089e-26,"0","CAPG"
"EMP3",7.7219097947075e-31,-0.887961952220698,0.617,0.777,1.05898270924619e-26,"0","EMP3"
"RPL37A",1.17296141491119e-30,0.379696366819331,0.981,0.946,1.60859928440921e-26,"0","RPL37A"
"RHOG",3.09072390050569e-30,-1.41056155572485,0.211,0.456,4.2386187571535e-26,"0","RHOG"
"NELL2",4.05132659231421e-30,2.25122627733912,0.156,0.033,5.55598928869971e-26,"0","NELL2"
"TSPO",1.41987949910929e-29,-1.34316258521766,0.316,0.537,1.94722274507847e-25,"0","TSPO"
"HLA-B",1.7787588548837e-29,-0.378961867561276,0.926,0.956,2.43938989358751e-25,"0","HLA-B"
"SLC7A7",1.87400789384827e-29,-4.36065229853603,0.011,0.183,2.57001442562352e-25,"0","SLC7A7"
"CD27",2.15292820973791e-29,0.950971177720636,0.397,0.183,2.95252574683457e-25,"0","CD27"
"CST7",2.95370893983541e-29,-3.14863770144761,0.054,0.248,4.05071644009028e-25,"0","CST7"
"HCK",3.11715805793869e-29,-3.47641029428541,0.02,0.197,4.27487056065712e-25,"0","HCK"
"CD14",4.37808240459726e-29,-4.26364537871495,0.017,0.19,6.00410220966468e-25,"0","CD14"
"LDLRAP1",6.38364259421336e-29,2.3563460222348,0.243,0.085,8.7545274537042e-25,"0","LDLRAP1"
"RPS4Y1",1.60254217679683e-28,0.488367108849408,0.933,0.872,2.19772634125917e-24,"0","RPS4Y1"
"RPL34",1.6707309637843e-28,0.591366189382641,0.927,0.904,2.29124044373378e-24,"0","RPL34"
"RPL27",2.82816891073467e-28,0.365669711268183,0.974,0.952,3.87855084418153e-24,"0","RPL27"
"PSMB9",2.96900110208429e-28,-0.876368298171261,0.426,0.644,4.07168811139839e-24,"0","PSMB9"
"RHOC",3.86781048190147e-28,-2.53327081006641,0.049,0.238,5.30431529487967e-24,"0","RHOC"
"EIF4A1",4.19950848343528e-28,-0.842278997341733,0.566,0.728,5.75920593418314e-24,"0","EIF4A1"
"RNF130",7.02995164519553e-28,-2.71521321232526,0.044,0.229,9.64087568622115e-24,"0","RNF130"
"MYO1F",1.16804350147405e-27,-1.79369075309224,0.083,0.293,1.60185485792151e-23,"0","MYO1F"
"C6orf48",1.29743582931241e-27,0.889752048755014,0.684,0.495,1.77930349631904e-23,"0","C6orf48"
"TIMP1",1.4714239357928e-27,-1.68316163367702,0.167,0.388,2.01791078554624e-23,"0","TIMP1"
"RPSAP58",2.73752430035625e-27,0.567627294295039,0.833,0.701,3.75424082550856e-23,"0","RPSAP58"
"LILRA5",2.88287235490383e-27,-5.0454766070043,0.006,0.161,3.95357114751511e-23,"0","LILRA5"
"BRI3",3.91923314660468e-27,-2.42531465569968,0.066,0.255,5.37483633725365e-23,"0","BRI3"
"PLEK",4.3432005480583e-27,-2.62356556189935,0.039,0.218,5.95626523160716e-23,"0","PLEK"
"AIF1",6.9813131035586e-27,-2.52566538512726,0.254,0.418,9.57417279022026e-23,"0","AIF1"
"CPVL",9.52839892602793e-27,-4.98984212787605,0.004,0.156,1.30672462871547e-22,"0","CPVL"
"CTSC",1.16393672352388e-26,-1.79817116042672,0.114,0.324,1.59622282264066e-22,"0","CTSC"
"APOBEC3A",2.11296695584181e-26,-4.7051727183277,0.011,0.167,2.89772288324146e-22,"0","APOBEC3A"
"S100A10",2.1759634501394e-26,-0.968436360612134,0.523,0.685,2.98411627552117e-22,"0","S100A10"
"CD79A",2.66889527588941e-26,-4.48709682102847,0.036,0.202,3.66012298135473e-22,"0","CD79A"
"RPL15",3.33373586210487e-26,0.281181799559219,0.996,0.996,4.57188536129062e-22,"0","RPL15"
"TRABD2A",4.18703375929681e-26,1.59430501276989,0.194,0.06,5.74209809749964e-22,"0","TRABD2A"
"TALDO1",4.73235015350198e-26,-1.75978090560738,0.211,0.428,6.48994500051261e-22,"0","TALDO1"
"LEPROTL1",5.47423856043211e-26,1.1466335237871,0.4,0.209,7.5073707617766e-22,"0","LEPROTL1"
"LYN",7.41186811215664e-26,-3.00387501866697,0.033,0.201,1.01646359290116e-21,"0","LYN"
"TMSB4X",7.60595502873912e-26,-0.301469736318319,1,1,1.04308067264128e-21,"0","TMSB4X"
"RPL7A",8.28094988283214e-26,0.317544568289346,0.983,0.976,1.1356494669316e-21,"0","RPL7A"
"MNDA",8.41542467308558e-26,-4.02338937502556,0.013,0.167,1.15409133966696e-21,"0","MNDA"
"ANXA5",9.27782896037354e-26,-1.58563351149916,0.151,0.364,1.27236146362563e-21,"0","ANXA5"
"IFI6",9.95197923841869e-26,-1.30618433159903,0.246,0.46,1.36481443275674e-21,"0","IFI6"
"HLA-DQA2",1.08808240979662e-25,-4.42516345666507,0.013,0.165,1.49219621679509e-21,"0","HLA-DQA2"
"NFKBIA",2.02167594346487e-25,-1.24278964338175,0.307,0.51,2.77252638886773e-21,"0","NFKBIA"
"TPI1",2.66776257840055e-25,-0.930152330332405,0.351,0.565,3.65856960001851e-21,"0","TPI1"
"LINC00936",3.9676518099617e-25,-1.81769131873578,0.127,0.335,5.44123769218147e-21,"0","LINC00936"
"C20orf24",5.84335152557521e-25,-1.44703473699717,0.154,0.366,8.01357228217384e-21,"0","C20orf24"
"RPL6",1.09541094098324e-24,0.274734210533745,0.997,0.993,1.50224656446442e-20,"0","RPL6"
"IGSF6",2.2410486460318e-24,-4.70616496777841,0.006,0.146,3.07337411316801e-20,"0","IGSF6"
"CTSZ",3.80437571655061e-24,-4.21786626177171,0.009,0.15,5.21732085767751e-20,"0","CTSZ"
"PILRA",3.8204192020423e-24,-3.60213393924952,0.011,0.156,5.23932289368081e-20,"0","PILRA"
"LTB",4.19588292903904e-24,0.363614972854982,0.889,0.637,5.75423384888413e-20,"0","LTB"
"FKBP1A",5.98413564572109e-24,-1.13914890230234,0.324,0.517,8.2066436245419e-20,"0","FKBP1A"
"CFL1",6.11508993152578e-24,-0.425613129325493,0.903,0.921,8.38623433209445e-20,"0","CFL1"
"C19orf38",6.79927520151347e-24,-5.21200361968781,0.004,0.14,9.32452601135557e-20,"0","C19orf38"
"CTSB",7.60756299832593e-24,-2.00254764257044,0.069,0.248,1.04330118959042e-19,"0","CTSB"
"STX11",2.19408098227172e-23,-2.93473699609636,0.023,0.173,3.00896265908743e-19,"0","STX11"
"MS4A1",2.65201926402871e-23,-3.49375018449534,0.043,0.199,3.63697921868897e-19,"0","MS4A1"
"H3F3A",3.60868799700643e-23,-1.17806718097934,0.233,0.441,4.94895471909462e-19,"0","H3F3A"
"POU2F2",4.1880412066239e-23,-2.45942749805365,0.041,0.203,5.74347971076401e-19,"0","POU2F2"
"NEAT1",4.2546840022729e-23,-0.901348140171379,0.534,0.678,5.83487364071705e-19,"0","NEAT1"
"KLF4",4.40358402337905e-23,-3.39415183691012,0.016,0.158,6.03907512966203e-19,"0","KLF4"
"ADTRP",4.40939735998058e-23,2.97202442603897,0.1,0.017,6.04704753947737e-19,"0","ADTRP"
"PSMB8",5.07035580676831e-23,-1.06598054634616,0.3,0.518,6.95348595340206e-19,"0","PSMB8"
"FCGRT",8.50382342383785e-23,-1.88904545725335,0.1,0.282,1.16621434434512e-18,"0","FCGRT"
"REEP5",1.13647781251572e-22,-1.56862683376773,0.121,0.314,1.55856567208406e-18,"0","REEP5"
"YBX1",1.19216650748702e-22,-0.663946148905926,0.759,0.839,1.63493714836769e-18,"0","YBX1"
"FPR1",1.43056958859708e-22,-4.41913115623959,0.01,0.144,1.96188313380203e-18,"0","FPR1"
"OXNAD1",2.01305619310493e-22,1.6917552491834,0.216,0.082,2.7607052632241e-18,"0","OXNAD1"
"BLVRB",2.11292984605497e-22,-2.36739124220024,0.046,0.204,2.89767199087979e-18,"0","BLVRB"
"LRRC25",2.32989942386276e-22,-4.55629219654416,0.007,0.138,3.19522406988539e-18,"0","LRRC25"
"STXBP2",2.94221094519699e-22,-1.89476266620692,0.113,0.292,4.03494809024315e-18,"0","STXBP2"
"GZMA",3.48142446490993e-22,-2.64999032987947,0.077,0.241,4.77442551117748e-18,"0","GZMA"
"NUP214",3.49316406603204e-22,-2.8488922057227,0.034,0.184,4.79052520015634e-18,"0","NUP214"
"APLP2",3.60916876339825e-22,-2.23394314079772,0.049,0.209,4.94961404212436e-18,"0","APLP2"
"UBE2L6",4.35969756562807e-22,-1.26264666172436,0.191,0.402,5.97888924150233e-18,"0","UBE2L6"
"MS4A7",4.41482531263085e-22,-3.73492784166393,0.017,0.154,6.05449143374195e-18,"0","MS4A7"
"RNASE6",4.79302084760672e-22,-4.68266900516495,0.007,0.136,6.57314879040786e-18,"0","RNASE6"
"RP11-290F20.3",4.9528956222719e-22,-3.79473845336535,0.016,0.152,6.79240105638368e-18,"0","RP11-290F20.3"
"CCL3",9.03914670745669e-22,-4.09604779171653,0.034,0.179,1.23962857946061e-17,"0","CCL3"
"AES",1.19912435348125e-21,0.67480872177022,0.636,0.442,1.64447913836418e-17,"0","AES"
"BLVRA",2.22588500857332e-21,-2.17372276732246,0.066,0.229,3.05257870075745e-17,"0","BLVRA"
"CCL5",2.57679904440035e-21,-1.49620180772439,0.177,0.367,3.53382220949064e-17,"0","CCL5"
"IFITM2",2.6595114256852e-21,-0.772331650887728,0.611,0.745,3.64725396918468e-17,"0","IFITM2"
"CD37",2.91561290082514e-21,-0.883160678654307,0.686,0.8,3.9984715321916e-17,"0","CD37"
"RPS7",3.67606229063973e-21,0.276166657585311,0.996,0.987,5.04135182538332e-17,"0","RPS7"
"ALDH2",5.6147599027932e-21,-3.75640263269848,0.016,0.146,7.70008173069059e-17,"0","ALDH2"
"RPL26",6.32727356293915e-21,0.253591881062586,0.996,0.991,8.67722296421474e-17,"0","RPL26"
