"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"FAM49B.4",4.91059323228571e-05,0.750688605135314,0.688,0.298,0.673438755875663,"7","FAM49B"
"ITGB7.5",5.01300817712873e-05,0.521175133783349,0.438,0.137,0.687483941411434,"7","ITGB7"
"TRAF4.1",5.020292485363e-05,2.19256301877695,0.125,0.02,0.688482911442682,"7","TRAF4"
"GLTSCR2.6",5.0802701320339e-05,-1.19965372465186,0.906,0.833,0.696708245907129,"7","GLTSCR2"
"EEF1D.3",5.20959506374492e-05,-0.578931531110471,0.969,0.966,0.714443867041978,"7","EEF1D"
"SIRT6",5.24776192340233e-05,1.282972807304,0.156,0.029,0.719678070175396,"7","SIRT6"
"APEX2.1",5.26687038460219e-05,1.9502302147652,0.125,0.02,0.722298604544344,"7","APEX2"
"ERLIN2",5.29382618978207e-05,2.30164742924469,0.094,0.012,0.725995323666712,"7","ERLIN2"
"BST2.6",5.31336821422852e-05,0.667162362663624,0.906,0.444,0.728675316899299,"7","BST2"
"EIF4A3.3",5.32939227307534e-05,1.09836271466064,0.375,0.117,0.730872856329553,"7","EIF4A3"
"PFDN2.3",5.35599594680664e-05,1.15803444526948,0.531,0.191,0.734521284145063,"7","PFDN2"
"HMGXB4.2",5.414007799432e-05,0.78692374203746,0.219,0.05,0.742477029614104,"7","HMGXB4"
"TEX10",5.57036452597576e-05,1.98810981002921,0.094,0.012,0.763919791092315,"7","TEX10"
"TMEM43.1",5.57757414990887e-05,0.795412943558709,0.219,0.05,0.764908518918503,"7","TMEM43"
"SH3BGRL3.6",5.58224413749494e-05,0.481802744941185,1,0.857,0.765548961016056,"7","SH3BGRL3"
"MVK",5.65595823210334e-05,1.90200330532956,0.094,0.012,0.775658111950652,"7","MVK"
"ABHD15.1",5.68476636698211e-05,1.49697023118157,0.094,0.012,0.779608859567927,"7","ABHD15"
"PCK2.1",5.6947428685817e-05,1.5572967688399,0.156,0.029,0.780977036997295,"7","PCK2"
"PIDD",5.74279842155254e-05,1.80869378940451,0.094,0.012,0.787567375531715,"7","PIDD"
"RP11-147L13.2",5.74279842155254e-05,1.83075876765034,0.094,0.012,0.787567375531715,"7","RP11-147L13.2"
"ABHD16A.1",5.9580669803783e-05,1.73510496353489,0.125,0.02,0.81708930568908,"7","ABHD16A"
"TPRKB",6.03236356415879e-05,0.948684663605942,0.25,0.062,0.827278339188736,"7","TPRKB"
"TMEM242",6.09412608647921e-05,0.34995131445252,0.281,0.073,0.835748451499758,"7","TMEM242"
"ADAM15.1",6.10140983310966e-05,1.78399189124548,0.125,0.02,0.836747344512658,"7","ADAM15"
"TPGS1.3",6.15526947906607e-05,0.94181234969891,0.375,0.118,0.844133656359121,"7","TPGS1"
"ETF1.1",6.17897558119943e-05,1.00991901393275,0.219,0.05,0.84738471120569,"7","ETF1"
"TPMT.4",6.18881784503927e-05,1.0957440119572,0.25,0.063,0.848734479268685,"7","TPMT"
"TMEM208.3",6.20641397316277e-05,0.39436947842652,0.406,0.124,0.851147612279542,"7","TMEM208"
"C6orf106.2",6.2069927285721e-05,1.42586098816635,0.156,0.029,0.851226982796378,"7","C6orf106"
"ZNF296",6.32256093068627e-05,1.67299593248921,0.125,0.02,0.867076006034315,"7","ZNF296"
